trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
151,False,"{'e': 0.32039504293094423, 'a': 0.8}",25,0,-12.341102000461593,"{0: 19, 1: 3, 2: 3, 3: 0, 4: 0}",0
152,False,"{'e': 0.31556943481937505, 'a': 0.8}",25,8,18.499029508303064,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'e': 0.3107852707424696, 'a': 0.8}",25,16,-5.5684329415500855,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
154,False,"{'e': 0.30604287670305735, 'a': 0.8}",20,12,16.71737617626269,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'e': 0.30134256124828473, 'a': 0.8}",20,4,-2.403617200028548,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
156,False,"{'e': 0.29668461561288695, 'a': 0.8}",20,6,9.898568278143568,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
157,False,"{'e': 0.2920693138688994, 'a': 0.8}",20,2,19.85916698788597,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
158,False,"{'e': 0.28749691308161934, 'a': 0.8}",20,6,-69.0181454676169,"{0: 10, 1: 0, 2: 2, 3: 1, 4: 1}",1
159,False,"{'e': 0.28296765347162817, 'a': 0.8}",20,7,-5.658074823609321,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 0}",1
160,False,"{'e': 0.27848175858268304, 'a': 0.8}",25,10,13.164390730405028,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
161,False,"{'e': 0.27403943545528564, 'a': 0.8}",25,6,16.372382226251943,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
162,False,"{'e': 0.2696408748057349, 'a': 0.8}",25,14,18.423008674450045,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'e': 0.2652862512104691, 'a': 0.8}",25,0,-3.056563039402434,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
164,False,"{'e': 0.2609757232955035, 'a': 0.8}",20,16,8.580607598880142,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'e': 0.2567094339307679, 'a': 0.8}",25,1,-38.52392780432856,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 1}",1
166,False,"{'e': 0.2524875104291487, 'a': 0.8}",30,18,19.88338339360267,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
167,False,"{'e': 0.24831006475004055, 'a': 0.8}",20,1,7.140726153904036,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
168,False,"{'e': 0.24417719370721153, 'a': 0.8}",20,14,10.47721735452663,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'e': 0.2400889791807869, 'a': 0.8}",30,23,5.818695591991739,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
170,False,"{'e': 0.23604548833315653, 'a': 0.8}",30,16,7.353903100643166,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'e': 0.23204677382861166, 'a': 0.8}",20,9,-37.26672742319323,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 1}",1
172,False,"{'e': 0.22809287405651701, 'a': 0.8}",25,11,6.680841546193641,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
